sku_id,forecast_12w,avg_weekly_forecast,date,on_hand_units,on_order_units,lead_time_days,reorder_point,category,subcategory,unit_cost,list_price,lead_time_demand,stockout_units_at_risk,stockout_sales_at_risk,excess_units,overstock_capital_locked,weeks_of_cover,risk_category,recommended_action
SKU_0001,313.47414039127074,26.122845032605895,2025-12-28,16,44,5,17,Furniture,Desk,6911.2,14977.29,18.659175023289922,2.6591750232899223,39827.23548456992,0.0,0.0,2.3,Stockout Risk,Prioritize replenishment
SKU_0002,450.87504164756666,37.572920137297224,2025-12-28,66,0,14,54,Decor,Lamp,7812.29,17478.07,75.14584027459445,9.145840274594448,159851.636528181,0.0,0.0,1.76,Stockout Risk,Prioritize replenishment
SKU_0003,301.5841118494124,25.132009320784366,2025-12-28,36,0,6,19,Kitchen,Utensil,3767.97,6812.03,21.54172227495803,0.0,0.0,0.0,0.0,1.43,Healthy,Maintain current inventory
SKU_0004,931.0438673610907,77.58698894675756,2025-12-28,0,121,9,97,Furniture,Chair,5257.76,12119.34,99.75470007440256,99.75470007440256,1208961.12679971,0.0,0.0,1.56,Stockout Risk,Prioritize replenishment
SKU_0005,1638.1565672449658,136.5130472704138,2025-12-28,94,241,9,156,Kitchen,Appliance,4570.3,6719.25,175.5167750619606,81.5167750619606,547731.5908350787,0.0,0.0,2.45,Stockout Risk,Prioritize replenishment
SKU_0006,1207.03939365644,100.58661613803667,2025-12-28,114,219,13,160,Furniture,Desk,5163.82,11535.44,186.80371568492527,72.80371568492527,839822.8940605143,0.0,0.0,3.31,Stockout Risk,Prioritize replenishment
SKU_0007,2306.103729295452,192.175310774621,2025-12-28,373,0,8,175,Kitchen,Appliance,7177.03,16192.97,219.62892659956688,0.0,0.0,0.0,0.0,1.94,Healthy,Maintain current inventory
SKU_0008,1090.4059209394209,90.86716007828507,2025-12-28,128,184,14,146,Lighting,Outdoor,3893.75,5638.87,181.73432015657013,53.734320156570135,303000.8459012786,0.0,0.0,3.43,Stockout Risk,Prioritize replenishment
SKU_0009,219.74253189745465,18.311877658121222,2025-12-28,33,0,10,21,Kitchen,Cookware,6034.67,14871.0,26.15982522588746,0.0,0.0,0.0,0.0,1.8,Healthy,Maintain current inventory
SKU_0010,2028.6138375714631,169.05115313095527,2025-12-28,191,332,10,193,Kitchen,Appliance,3152.54,6041.88,241.5016473299361,50.501647329936105,305124.89296979434,0.0,0.0,3.09,Stockout Risk,Prioritize replenishment
